YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2017/05,False Alarm,Manhattan,369,5:04
2017/05,False Alarm,Bronx,376,5:00
2017/05,False Alarm,Staten Island,131,4:08
2017/05,False Alarm,Brooklyn,500,4:11
2017/05,False Alarm,Queens,471,4:48
2017/05,Medical Emergencies,New York City,24822,4:34
2017/05,Medical Emergencies,Manhattan,6891,4:59
2017/05,Medical Emergencies,Bronx,4894,4:55
2017/05,Medical Emergencies,Staten Island,1160,4:24
2017/05,Medical Emergencies,Brooklyn,7044,4:02
2017/05,Medical Emergencies,Queens,4833,4:40
2017/05,Medical False Alarm,New York City,241,4:36
2017/05,Medical False Alarm,Manhattan,56,5:07
2017/05,Medical False Alarm,Bronx,51,4:55
2017/05,Medical False Alarm,Staten Island,6,5:30
2017/05,Medical False Alarm,Brooklyn,81,4:02
2017/05,Medical False Alarm,Queens,47,4:35
2017/05,NonMedical Emergencies,New York City,19703,5:22
2017/05,NonMedical Emergencies,Manhattan,5527,5:37
2017/05,NonMedical Emergencies,Bronx,4073,5:39
2017/05,NonMedical Emergencies,Staten Island,1017,5:16
2017/05,NonMedical Emergencies,Brooklyn,5382,4:48
2017/05,NonMedical Emergencies,Queens,3704,5:32
2017/05,NonStructural Fires,New York City,1112,4:35
2017/05,NonStructural Fires,Manhattan,328,4:47
2017/05,NonStructural Fires,Bronx,189,5:05
2017/05,NonStructural Fires,Staten Island,57,4:52
2017/05,NonStructural Fires,Brooklyn,325,3:57
2017/05,NonStructural Fires,Queens,213,4:42
2017/05,Structural Fires,New York City,2250,4:14
2017/05,Structural Fires,Manhattan,512,4:22
2017/05,Structural Fires,Bronx,518,4:25
2017/05,Structural Fires,Staten Island,91,4:26
2017/05,Structural Fires,Brooklyn,670,3:43
2017/05,Structural Fires,Queens,459,4:37
2017/04,All Fire/Emergency Incidents,New York City,46314,4:52
2017/04,All Fire/Emergency Incidents,Manhattan,12640,5:12
2017/04,All Fire/Emergency Incidents,Bronx,9325,5:11
2017/04,All Fire/Emergency Incidents,Staten Island,2353,4:37
2017/04,All Fire/Emergency Incidents,Brooklyn,12894,4:17
2017/04,All Fire/Emergency Incidents,Queens,9102,5:03
2017/04,False Alarm,New York City,1783,4:35
2017/04,False Alarm,Manhattan,337,5:02
2017/04,False Alarm,Bronx,387,4:54
2017/04,False Alarm,Staten Island,144,4:09
2017/04,False Alarm,Brooklyn,491,3:58
2017/04,False Alarm,Queens,424,4:45
2017/04,Medical Emergencies,New York City,22591,4:34
2017/04,Medical Emergencies,Manhattan,6192,4:53
2017/04,Medical Emergencies,Bronx,4373,4:59
2017/04,Medical Emergencies,Staten Island,1179,4:23
2017/04,Medical Emergencies,Brooklyn,6346,4:00
2017/04,Medical Emergencies,Queens,4501,4:44
2017/04,Medical False Alarm,New York City,222,5:02
2017/04,Medical False Alarm,Manhattan,49,4:49
2017/04,Medical False Alarm,Bronx,38,5:18
2017/04,Medical False Alarm,Staten Island,9,5:38
2017/04,Medical False Alarm,Brooklyn,67,5:10
2017/04,Medical False Alarm,Queens,59,4:50
2017/04,NonMedical Emergencies,New York City,18246,5:15
2017/04,NonMedical Emergencies,Manhattan,5273,5:31
2017/04,NonMedical Emergencies,Bronx,3841,5:29
2017/04,NonMedical Emergencies,Staten Island,854,4:58
2017/04,NonMedical Emergencies,Brooklyn,4887,4:41
2017/04,NonMedical Emergencies,Queens,3391,5:27
2017/04,NonStructural Fires,New York City,1252,4:35
2017/04,NonStructural Fires,Manhattan,360,4:37
2017/04,NonStructural Fires,Bronx,194,5:00
2017/04,NonStructural Fires,Staten Island,64,4:25
2017/04,NonStructural Fires,Brooklyn,401,4:13
2017/04,NonStructural Fires,Queens,233,4:43
2017/04,Structural Fires,New York City,2220,4:14
2017/04,Structural Fires,Manhattan,429,4:29
2017/04,Structural Fires,Bronx,492,4:16
2017/04,Structural Fires,Staten Island,103,4:23
2017/04,Structural Fires,Brooklyn,702,3:44
2017/04,Structural Fires,Queens,494,4:39
2017/03,All Fire/Emergency Incidents,New York City,46826,5:04
2017/03,All Fire/Emergency Incidents,Manhattan,12426,5:28
2017/03,All Fire/Emergency Incidents,Bronx,9223,5:24
2017/03,All Fire/Emergency Incidents,Staten Island,2246,4:54
2017/03,All Fire/Emergency Incidents,Brooklyn,13288,4:27
2017/03,All Fire/Emergency Incidents,Queens,9643,5:12
2017/03,False Alarm,New York City,1503,4:53
2017/03,False Alarm,Manhattan,302,5:16
2017/03,False Alarm,Bronx,304,4:58
2017/03,False Alarm,Staten Island,88,4:55
2017/03,False Alarm,Brooklyn,410,4:24
2017/03,False Alarm,Queens,399,5:00
2017/03,Medical Emergencies,New York City,21641,4:44
2017/03,Medical Emergencies,Manhattan,5696,5:10
2017/03,Medical Emergencies,Bronx,4203,5:10
2017/03,Medical Emergencies,Staten Island,1040,4:36
2017/03,Medical Emergencies,Brooklyn,6166,4:11
2017/03,Medical Emergencies,Queens,4536,4:48
2017/03,Medical False Alarm,New York City,199,4:54
2017/03,Medical False Alarm,Manhattan,41,5:16
2017/03,Medical False Alarm,Bronx,43,5:48
2017/03,Medical False Alarm,Staten Island,5,3:48
2017/03,Medical False Alarm,Brooklyn,64,4:15
2017/03,Medical False Alarm,Queens,46,4:49
2017/03,NonMedical Emergencies,New York City,19348,5:28
2017/03,NonMedical Emergencies,Manhattan,5440,5:47
2017/03,NonMedical Emergencies,Bronx,3955,5:46
2017/03,NonMedical Emergencies,Staten Island,940,5:11
2017/03,NonMedical Emergencies,Brooklyn,5360,4:49
2017/03,NonMedical Emergencies,Queens,3653,5:42
2017/03,NonStructural Fires,New York City,1801,4:36
2017/03,NonStructural Fires,Manhattan,455,4:50
2017/03,NonStructural Fires,Bronx,203,4:35
2017/03,NonStructural Fires,Staten Island,50,5:04
2017/03,NonStructural Fires,Brooklyn,551,4:08
2017/03,NonStructural Fires,Queens,542,4:50
2017/03,Structural Fires,New York City,2334,4:14
2017/03,Structural Fires,Manhattan,492,4:34
2017/03,Structural Fires,Bronx,515,4:24
2017/03,Structural Fires,Staten Island,123,4:32
2017/03,Structural Fires,Brooklyn,737,3:42
